task_name,seed,env,ordering,call_index,function_name,stage,elapsed_sec,memory_mb,function_eval_requests_so_far,rank_profile_json,rank_max,rank_mean,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19
HM8_actuator_relabelled_state40_action50_iter30_orderpam_greedy_seed0_formal5080,0,HM8_actuator_relabelled,pam_greedy,1,reward_fcn,after_cross_before_round,0.6988376658409834,9.017344,221362,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 2]",11,10.526315789473685,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2
HM8_actuator_relabelled_state40_action50_iter30_orderpam_greedy_seed0_formal5080,0,HM8_actuator_relabelled,pam_greedy,1,reward_fcn,after_round,0.7566943783313036,8.562176,221362,"[2, 2, 2, 2, 3, 2, 3, 2, 3, 2, 3, 2, 3, 2, 3, 2, 3, 2, 2]",3,2.3684210526315788,2,2,2,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,2
HM8_actuator_relabelled_state40_action50_iter30_orderpam_greedy_seed0_formal5080,0,HM8_actuator_relabelled,pam_greedy,2,bellman_operator,after_cross_before_round,2.3470224859192967,8.89088,120960,"[11, 11, 11]",11,11.0,11,11,11,,,,,,,,,,,,,,,,
HM8_actuator_relabelled_state40_action50_iter30_orderpam_greedy_seed0_formal5080,0,HM8_actuator_relabelled,pam_greedy,2,bellman_operator,after_round,2.3496501464396715,8.80896,120960,"[2, 1, 1]",2,1.3333333333333333,2,1,1,,,,,,,,,,,,,,,,
HM8_actuator_relabelled_state40_action50_iter30_orderpam_greedy_seed0_formal5080,0,HM8_actuator_relabelled,pam_greedy,3,get_advantage_from_value,after_cross_before_round,0.5867500705644488,9.2928,221362,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 2]",11,10.526315789473685,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2
HM8_actuator_relabelled_state40_action50_iter30_orderpam_greedy_seed0_formal5080,0,HM8_actuator_relabelled,pam_greedy,3,get_advantage_from_value,after_round,0.6072897063568234,8.823296,221362,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.263157894736842,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HM8_actuator_relabelled_state40_action50_iter30_orderpam_greedy_seed0_formal5080,0,HM8_actuator_relabelled,pam_greedy,4,bellman_operator,after_cross_before_round,2.021010808646679,8.831488,120960,"[11, 11, 11]",11,11.0,11,11,11,,,,,,,,,,,,,,,,
HM8_actuator_relabelled_state40_action50_iter30_orderpam_greedy_seed0_formal5080,0,HM8_actuator_relabelled,pam_greedy,4,bellman_operator,after_round,2.024857864715159,8.749568,120960,"[2, 1, 1]",2,1.3333333333333333,2,1,1,,,,,,,,,,,,,,,,
HM8_actuator_relabelled_state40_action50_iter30_orderpam_greedy_seed0_formal5080,0,HM8_actuator_relabelled,pam_greedy,5,get_advantage_from_value,after_cross_before_round,0.6172343818470836,9.23136,221362,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 2]",11,10.526315789473685,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2
HM8_actuator_relabelled_state40_action50_iter30_orderpam_greedy_seed0_formal5080,0,HM8_actuator_relabelled,pam_greedy,5,get_advantage_from_value,after_round,0.6554664839059114,8.761856,221362,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.263157894736842,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HM8_actuator_relabelled_state40_action50_iter30_orderpam_greedy_seed0_formal5080,0,HM8_actuator_relabelled,pam_greedy,6,bellman_operator,after_cross_before_round,2.040944503620267,8.831488,120960,"[11, 11, 11]",11,11.0,11,11,11,,,,,,,,,,,,,,,,
HM8_actuator_relabelled_state40_action50_iter30_orderpam_greedy_seed0_formal5080,0,HM8_actuator_relabelled,pam_greedy,6,bellman_operator,after_round,2.046509495936334,8.753664,120960,"[3, 3, 2]",3,2.6666666666666665,3,3,2,,,,,,,,,,,,,,,,
HM8_actuator_relabelled_state40_action50_iter30_orderpam_greedy_seed0_formal5080,0,HM8_actuator_relabelled,pam_greedy,7,get_advantage_from_value,after_cross_before_round,0.6242292607203126,9.239552,221362,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 2]",11,10.526315789473685,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2
HM8_actuator_relabelled_state40_action50_iter30_orderpam_greedy_seed0_formal5080,0,HM8_actuator_relabelled,pam_greedy,7,get_advantage_from_value,after_round,0.6589113958179951,8.770048,221362,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.263157894736842,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HM8_actuator_relabelled_state40_action50_iter30_orderpam_greedy_seed0_formal5080,0,HM8_actuator_relabelled,pam_greedy,8,bellman_operator,after_cross_before_round,2.064443813636899,8.83968,120960,"[11, 11, 11]",11,11.0,11,11,11,,,,,,,,,,,,,,,,
HM8_actuator_relabelled_state40_action50_iter30_orderpam_greedy_seed0_formal5080,0,HM8_actuator_relabelled,pam_greedy,8,bellman_operator,after_round,2.0719485534355044,8.761856,120960,"[3, 3, 2]",3,2.6666666666666665,3,3,2,,,,,,,,,,,,,,,,
